,Names,img
0,Royal Enfield Hunter 350,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
1,Royal Enfield Classic 350,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
2,Royal Enfield Continental GT 650,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
3,Yamaha MT 15 V2,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
4,Yamaha R15 V4,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
5,TVS Apache RTR 160,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
6,Royal Enfield Bullet 350,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
7,Triumph Speed Triple 1200 RS,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
8,Triumph Trident 660,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
9,Honda SP 125,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
10,TVS Raider 125,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
11,Bajaj Pulsar N160,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
